timestamp,ch1,ch2,ch3,ch4,ch5,ch10
1773349628,7191555.386615344,24475629.88769333,24477021.85982224,24586.078342868,27254.570368815,24477022.0210123
1773349629,7191599.129614725,24475673.627114788,24477065.599296674,24629.817658584,27298.311843947,24477065.76044929
1773349630,7191642.871256123,24475717.366324335,24477109.338523716,24673.560308629,27342.050525726,24477109.49964134
1773349631,7191686.613283642,24475761.105271444,24477153.07748832,24717.302783756,27385.788932239,24477153.23860177
1773349632,7191730.355719609,24475804.844011337,24477196.816246197,24761.043893564,27429.525006125,24477196.97732601
1773349633,7191774.096916993,24475848.582508136,24477240.554777984,24804.785778027,27473.262270127,24477240.71582281
1773349634,7191817.839351949,24475892.320777494,24477284.293082334,24848.52720273,27517.003289934,24477284.454092167
1773349635,7191861.58075409,24475936.058818385,24477328.031159244,24892.269243556,27560.743792108,24477328.192130722
1773349636,7191905.322199087,24475979.79660246,24477371.768960267,24936.010709786,27604.482704925,24477371.929932293
1773349637,7191949.061652583,24476023.53419409,24477415.506525543,24979.753284927,27648.222743177,24477415.66750643
1773349638,7191992.801907095,24476067.271553535,24477459.243876837,25023.494567785,27691.958832689,24477459.40486354
1773349639,7192036.542472225,24476111.00869489,24477502.9810007,25067.238086905,27735.695356937,24477503.1420049
1773349640,7192080.283019858,24476154.745591324,24477546.717897132,25110.979897124,27779.431967256,24477546.87890133
1773349641,7192124.020890926,24476198.482277818,24477590.454593167,25154.720585147,27823.167456915,24477590.615605317
1773349642,7192167.759850924,24476242.218750548,24477634.191091828,25198.458435422,27866.904860176,24477634.352046885
1773349643,7192211.5,24476285.954986792,24477677.92731058,25242.201042924,27910.642147256,24477678.08829447
1773349644,7192255.239467422,24476329.690995608,24477721.6632903,25285.939847782,27954.379906248,24477721.82432078
1773349645,7192298.978602796,24476373.42679449,24477765.39904132,25329.680347084,27998.11452812,24477765.56010986
1773349646,7192342.71713461,24476417.16236311,24477809.13456492,25373.420471642,28041.848747288,24477809.295685943
